pickup_datetime,lati,long,Gyro,Gear,Rate,Pressure,Heartbeat,Temp,gearTime,HeartTime,GyroTime,RateTime,PressureTime,TempTime
2021-3-20 14:10:38,23.564149999999998,120.47805,-2.746666666666666,1,15.885,5.403333333333333,130.0,29.62,51040,51040,51038,51037,51038,51040
2021-3-20 14:10:42,23.564223076923078,120.47803846153846,-1.56,6,13.94,5.944615384615385,127.0,29.34,51043,51043,51041,51041,51041,51043
2021-3-20 14:10:55,23.5646,120.4772,-0.6466666666666666,6,10.016666666666667,8.943333333333333,129.0,29.62,51058,51058,51054,51054,51054,51058
2021-3-20 14:10:58,23.5646,120.4772,-0.6,6,9.98,8.97,129.0,29.62,51057,51057,51057,51057,51057,51057
2021-3-20 14:11:2,23.564666666666664,120.47713333333333,1.7633333333333334,6,9.530000000000001,10.923333333333332,78.0,29.53,51064,51064,51062,51062,51062,51064
2021-3-20 14:11:5,23.5647,120.4771,1.84,6,9.8,11.87,78.0,29.53,51065,51065,51065,51065,51065,51065
2021-3-20 14:11:8,23.5647,120.477,0.94,6,10.36,10.66,78.0,29.71,51068,51068,51068,51068,51068,51068
2021-3-20 14:11:11,23.5641,120.4775,2.27,6,10.59,8.29,78.0,29.53,51070,51070,51070,51070,51070,51070
2021-3-20 14:11:14,23.5641,120.4775,2.25,6,10.13,9.08,78.0,29.43,51074,51074,51074,51074,51074,51074
2021-3-20 14:11:17,23.564133333333334,120.4776,0.89,6,10.2,9.58,78.0,29.43,51076,51076,51076,51076,51076,51076
2021-3-20 14:11:20,23.564,120.4776,3.39,6,10.52,11.98,78.0,29.53,51079,51079,51079,51079,51079,51079
2021-3-20 14:11:23,23.564,120.477575,1.28,6,10.5,11.19,78.0,29.53,51082,51082,51082,51082,51082,51082
2021-3-20 14:11:27,23.564,120.4777,0.8500000000000001,6,10.276666666666667,10.606666666666667,102.0,29.8,51088,51088,51086,51086,51086,51088
2021-3-20 14:11:32,23.564,120.4777,0.06333333333333324,5,11.556666666666667,7.206666666666666,128.0,29.62,51094,51094,51092,51092,51092,51094
2021-3-20 14:11:35,23.564,120.4777,-0.63,5,12.0,7.06,128.0,29.62,51095,51095,51095,51095,51095,51095
2021-3-20 14:11:41,23.5639,120.4778,-0.018000000000000016,5,12.192,6.876,128.0,29.62,51103,51103,51100,51100,51100,51103
2021-3-20 14:11:46,23.5637,120.47796,0.6499999999999999,5,11.7225,7.862500000000001,130.0,29.53,51108,51108,51105,51105,51105,51108
2021-3-20 14:11:51,23.563450000000003,120.4782,0.97,5,11.59,8.21,129.0,29.53,51109,51109,51109,51109,51109,51109
2021-3-20 14:11:55,23.5633,120.4782,-1.4714285714285715,5,12.175,7.398571428571429,129.0,29.71,51117,51117,51114,51114,51114,51117
2021-3-20 14:12:1,23.5633,120.47824,-1.324,5,11.875,6.71,65.0,29.8,51123,51123,51121,51120,51121,51123
2021-3-20 14:12:6,23.5632,120.4783,-0.0625,5,11.16,7.3175,128.0,29.9,51129,51129,51126,51126,51126,51129
2021-3-20 14:12:9,23.5632,120.4783,-0.19,5,11.16,7.45,129.0,29.9,51130,51130,51130,51129,51130,51130
2021-3-20 14:12:16,23.5632,120.4783,-4.442,5,10.26,9.05,54.0,29.8,51140,51140,51136,51136,51136,51140
2021-3-20 14:12:21,23.56318333333333,120.4783,-1.5066666666666666,5,10.379999999999999,8.64,96.0,29.53,51142,51142,51141,51140,51141,51142
2021-3-20 14:12:27,23.5628,120.4785,-2.2,4,11.97,7.2775,128.0,29.43,51150,51150,51147,51147,51147,51150
2021-3-20 14:12:34,23.562516666666667,120.4788,-3.4,6,12.32,5.78,130.0,29.71,51153,51153,51153,51153,51153,51153
2021-3-20 14:12:40,23.562366666666666,120.47871666666667,4.216666666666667,2,11.17,9.55,98.0,29.34,51161,51161,51159,51159,51159,51161
2021-3-20 14:12:46,23.5622,120.47825,1.9700000000000002,2,13.123333333333333,11.703333333333333,128.0,29.34,51167,51167,51165,51165,51165,51167
2021-3-20 14:12:48,23.5622,120.4782,2.41,2,14.54,9.51,128.0,29.34,51168,51168,51168,51168,51168,51168
2021-3-20 14:12:52,23.5621,120.4782,0.14,2,14.905000000000001,7.846,129.0,29.25,51174,51174,51172,51172,51172,51174
2021-3-20 14:12:57,23.5621,120.4782,0.32499999999999996,2,14.77,20.3925,129.0,29.25,51178,51178,51177,51176,51177,51178
